Date,AAPL,AMZN,GOOG,META,NFLX,TSLA
2022-09-27,150.865005,114.410004,98.089996,134.399994,224.360001,282.940002
2022-09-28,148.956329,118.010002,100.739998,141.610001,245.199997,287.809998
2022-09-29,141.63974,114.800003,98.089996,136.410004,239.710007,268.209991
2022-09-30,137.384964,113.0,96.150002,135.679993,235.440002,265.25
2022-10-03,141.609909,115.879997,99.300003,138.610001,239.039993,242.399994
2022-10-04,145.238388,121.089996,102.410004,140.279999,240.740005,249.440002
2022-10-05,145.536606,120.949997,102.220001,138.979996,236.729996,240.809998
2022-10-06,144.572342,120.300003,102.239998,139.070007,240.020004,238.130005
2022-10-07,139.26384,114.559998,99.57,133.449997,224.75,223.070007
2022-10-10,139.591873,113.669998,98.709999,133.789993,229.979996,222.960007
2022-10-11,138.16037,112.209999,98.050003,128.539993,214.289993,216.5
2022-10-12,137.524155,112.900002,98.300003,127.5,220.869995,217.240005
2022-10-13,142.146744,112.529999,99.709999,130.289993,232.509995,221.720001
2022-10-14,137.563919,106.900002,97.18,126.760002,230.0,204.990005
2022-10-17,141.57016,113.790001,100.779999,134.039993,245.100006,219.350006
2022-10-18,142.902252,116.360001,101.389999,132.800003,240.860001,220.190002
2022-10-19,143.011597,115.07,100.290001,133.229996,272.380005,222.039993
2022-10-20,142.544373,115.25,100.529999,131.529999,268.160004,207.279999
2022-10-21,146.401505,119.32,101.480003,130.009995,289.570007,214.440002
2022-10-24,148.568634,119.82,102.970001,129.720001,282.450012,211.25
2022-10-25,151.441589,120.599998,104.93,137.509995,291.019989,222.419998
2022-10-26,148.469223,115.660004,94.82,129.820007,298.619995,224.639999
2022-10-27,143.94606,110.959999,92.599998,97.940002,296.940002,225.089996
2022-10-28,154.821548,103.410004,96.580002,99.199997,295.720001,228.520004
2022-10-31,152.435684,102.440002,94.660004,93.160004,291.880005,227.539993
2022-11-01,149.761551,96.790001,90.5,95.199997,286.75,227.820007
2022-11-02,144.174698,92.120003,87.07,90.540001,273.0,214.979996
2022-11-03,138.060974,89.300003,83.489998,88.910004,269.059998,215.309998
2022-11-04,137.792114,90.980003,86.699997,90.790001,260.790009,207.470001
2022-11-07,138.329803,90.529999,88.650002,96.720001,258.600006,197.080002
2022-11-08,138.907364,89.980003,88.910004,96.470001,263.459991,191.300003
2022-11-09,134.297028,86.139999,87.400002,101.470001,254.660004,177.589996
2022-11-10,146.246048,96.629997,94.169998,111.870003,274.970001,190.720001
2022-11-11,149.064026,100.790001,96.730003,113.019997,290.130005,195.970001
2022-11-14,147.650055,98.489998,96.029999,114.220001,299.269989,190.949997
2022-11-15,149.402573,98.940002,98.720001,117.080002,310.200012,194.419998
2022-11-16,148.157883,97.120003,98.989998,113.230003,306.019989,186.919998
2022-11-17,150.079712,94.849998,98.5,111.449997,295.279999,183.169998
2022-11-18,150.647263,94.139999,97.800003,112.050003,287.980011,180.190002
2022-11-21,147.38121,92.459999,95.830002,109.860001,285.049988,167.869995
2022-11-22,149.541977,93.199997,97.330002,111.440002,286.690002,169.910004
2022-11-23,150.428223,94.129997,98.82,112.239998,291.5,183.199997
2022-11-25,147.480789,93.410004,97.599998,111.410004,285.540009,182.860001
2022-11-28,143.6073,93.949997,96.25,108.779999,281.170013,182.919998
